"group","alliance","ecoregion","ecosite","plant_community_code","plant_community_title","total_shrub_prominence","M1","M2","M3","M4","M5","M6","N","thresh80_cluster","maxalpha_cluster","pam_cluster","pam_neighbor","pam_silwidth","Clus_1"," Clus_2","Clus_3","Clus_4","Clus_5","Clus_6","Clustering"
"G273","A3986","Foothill Fescue","Loam","FFA1","Festuca campestris - Festuca idahoensis - Agropyron smithii",3.43,0,0,0,0,0,1,0,"M6","M6",5,4,0.470933371879519,0.143715146558895,0.127564966809796,0.151490318587604,0.155804342022805,0.553364249760054,0.0902488796662821,5
"G273","A3986","Foothill Fescue","Loam","FFA2","Festuca campestris - Festuca idahoensis - Carex spp.",1.86,0,0,0,0,0,1,0,"M6","M6",5,4,0.494775609457057,0.187113362285794,0.166455600287041,0.206922289169687,0.231183747495071,0.611575277388688,0.139071256534684,5
"G273","A3986","Foothill Fescue","Loam","FFA23","Festuca campestris - Stipa richardsonii",6.15,0,0,0,0,0,1,0,"M6","M6",5,6,0.513045570576287,0.120554632813179,0.116103441151145,0.130935672118731,0.14782755274309,0.602977137777648,0.184681690456723,5
"G273","A3986","Foothill Fescue","Loam","FFA24","Festuca campestris - Agropyron dasystachyum and Agropyron  smithii",16.47,0,0,0,0,0,0.999,0.001,"M6","M6",5,4,0.368670226760451,0.175377235746376,0.187550090687256,0.14721587059936,0.243718731922012,0.522537118519005,0.100975622866596,5
"G273","A3986","Foothill Fescue","Loam","FFA27","Agropyron dasystachyum-Agropyron smithii - Stipa viridula",14.93,0.038,0.887,0.001,0.004,0.001,0.006,0.063,"M2","M2",4,2,0.110519654734873,0.269172737733877,0.389908553944798,0.28484772462822,0.457335649919519,0.287309313973517,0.0749532219717476,4
"G273","A3986","Foothill Fescue","Loam","FFA5","Festuca campestris - Danthonia parryi",8.4,0,0,0,0,0,0.999,0.001,"M6","M6",5,6,0.443424159211634,0.159856661535727,0.0806325014781589,0.157157693422997,0.109701855411897,0.534056840118936,0.162839768213662,5
"G332","A2304","Aspen Parkland (MB)","Loam","LM1-APAD","Festuca hallii – Hesperostipa spartea / Hesperostipa curtiseta",1.24,0,0.001,0.978,0.003,0.004,0,0.014,"M3","M3",3,6,-0.00298236435480193,0.382701374390387,0.176930237091411,0.392925317804052,0.282959473746392,0.182512383053891,0.394735835696935,3
"G332","A2304","Aspen Parkland (MB)","Loam","LM12-APAD","Festuca hallii – Poa pratensis – Galium boreale – Carex",21.74,0,0,0.999,0,0.001,0,0,"M3","M3",6,1,0.285830779990503,0.356441371224935,0.0682770850853624,0.311968607822806,0.101466171896916,0.133658297809974,0.54039023605733,6
"G141","A4029","Aspen Parkland (MB)","Loam","LM2-APAD","Hesperostipa curtiseta – Nassella viridula – Pascopyrum smithii",1.51,0.002,0.98,0,0.003,0,0,0.014,"M2","M2",4,2,0.24153980238401,0.237800848323894,0.373023458449132,0.331469475524379,0.524463248394738,0.167707121670683,0.08305852797887,4
"G332","A2304","Aspen Parkland (MB)","Loam","LM7-APAD","Schizachyrium scoparium – Poa pratensis – Symphyotrichum laeve",0,0.007,0.008,0.031,0.016,0.005,0.006,0.928,"N","N",6,3,0.196516842501113,0.0858290639174552,0.0733331614687971,0.186738540639682,0.0792157445655748,0.114387462291471,0.346558114761019,6
"G332","A2304","Aspen Parkland (MB)","Loam","LM8-APAD","Festuca hallii – Hesperostipa spartea / Achnatherum richardsonii",10.47,0,0,0.999,0,0.001,0,0,"M3","M3",6,1,0.215078962765627,0.393417864870759,0.0854279647525093,0.326122628349463,0.124085054937246,0.158644570541323,0.523880921326516,6
"G141","A4029","Mesic Mixed Grass","Loam","MG-LM-A","Hesperostipa curtiseta - Elymus lanceolatus ",0.66,0,1,0,0,0,0,0,"M2","M2",4,2,0.320555622595948,0.317436456434835,0.349847722259944,0.344773618496159,0.558257690433082,0.192780377973423,0.111837175122961,4
"G141","A4029","Mesic Mixed Grass","Loam","MG-LM-B","Hesperostipa curtiseta - Elymus lanceolatus - Carex spp. - Artemisia frigida",3.24,0,1,0,0,0,0,0,"M2","M2",4,2,0.301131056170017,0.288204511054657,0.436297447274441,0.399495126449188,0.606045792342423,0.196634881249877,0.100681629248373,4
"G332","A4043","Mesic Mixed Grass","Loam","MGA1","Festuca hallii-Stipa curtiseta-Carex",3.92,0,0,0,0,1,0,0,"M5","M5",1,3,0.344769532484073,0.616347417527332,0.235892869439962,0.414476887915255,0.347347575373606,0.213284650970824,0.307347630812091,1
"G331","A4389","Mesic Mixed Grass","Loam","MGA14","Stipa comata - Agropyron dasystachyum - Koeleria macrantha",2.21,1,0,0,0,0,0,0,"M1","M1",2,4,0.295430652011383,0.202906059056119,0.610635442205465,0.231091526429539,0.447372272287915,0.162286573552952,0.0592598590405749,2
"G331","A4389","Mesic Mixed Grass","Loam","MGA21","Agropyron - Stipa comata",3.35,0.182,0.495,0.003,0.012,0.003,0.002,0.302,NA,"M2",4,2,0.0393428000351789,0.21939247862422,0.442667588604536,0.271785148880144,0.464594606219192,0.185077821533,0.0969190184173806,4
"G141","A4029","Mesic Mixed Grass","Loam","MGA36","Stipa curtiseta – Agropyron dasystachyum",0,0,1,0,0,0,0,0,"M2","M2",4,2,0.198160556445949,0.241508427947797,0.464690499991923,0.300216408706986,0.570767728384326,0.169217745571385,0.0954230609443133,4
"G141","A4029","Mesic Mixed Grass","Loam","MGA4","Stipa comata - Agropyron dasystachyum - Koeleria macrantha",2.25,0.91,0.081,0,0.002,0,0,0.006,"M1","M1",4,2,-0.0585956068565727,0.268589064708066,0.509749934275786,0.363237432096286,0.479235417536954,0.191949158751413,0.132348918414298,4
"G332","A4043","Northern Fescue","Loam","NFA01","Festuca hallii - Stipa curtiseta",6.34,0,0,0,0,1,0,0,"M5","M5",1,3,0.478170028544415,0.661173658733408,0.0966864325594468,0.350695897513371,0.229251730610154,0.130295674983781,0.271396409259681,1
"G332","A4043","Northern Fescue","Loam","NFA07","Stipa curtiseta - Festuca hallii",3.4,0,0.002,0.001,0.003,0.992,0,0.003,"M5","M5",1,3,0.195070106205274,0.555371908562984,0.199128627780827,0.447618861139719,0.414883570121515,0.1386978534401,0.234153670781885,1
"G332","A4043","Northern Fescue","Loam","NFA25","Stipa curtiseta - Carex spp. - Agropyron spp.",0.08,0.002,0.777,0.005,0.055,0.083,0.001,0.077,NA,"M2",4,1,-0.0460753020484481,0.455444471852699,0.233688995425606,0.407956521773259,0.429142017900707,0.141842003698713,0.174739669562727,4
"G332","A2405","Northern Fescue","Loam","NFC01","Symphoricarpos occidentalis / Festuca hallii",14.83,0,0,0,0,1,0,0,"M5","M5",1,3,0.463403563516567,0.639922453385336,0.0799545621808932,0.328960235042894,0.163718972358651,0.135060606918745,0.288909463721855,1
"G332","A2405","Northern Fescue","Loam","NFC06","Symphoricarpos occidentalis / Festuca hallii - Stipa curtiseta",16.3,0,0.001,0.001,0.005,0.99,0,0.003,"M5","M5",1,3,0.164419541991294,0.546547147185986,0.275853641443706,0.457319940326692,0.415978910055101,0.130615495907315,0.203938501929857,1
