"","MDS1","MDS2","MDS3"
"Hesperostipa_comata",0.789613216324816,0.0517194692040609,0.292518548988061
"Koeleria_macrantha",0.682639883376056,0.137509889901452,-0.00995903859643257
"Bouteloua_gracilis",0.672116591314941,0.390781837287023,0.178250595579001
"Elymus_lanceolatus",0.638017361927496,-0.125586634328907,-0.279011480680916
"Sphaeralcea_coccinea",0.610109275258331,0.103855941368794,-0.0740308372194983
"Calamagrostis_montanensis",0.554165192712248,-0.0202964068868661,0.000536487041330093
"Pascopyrum_smithii",0.45251968191968,0.0054579847756866,-0.257575004255622
"Poa_secunda",0.427644329177615,0.0462484754346426,-0.0594663296987342
"Tragopogon_dubius",0.360192021766577,0.0186163142545437,-0.0851748756922248
"Artemisia_cana",0.357116496034813,0.0875217408414933,0.0215832576008486
"Krascheninnikovia_lanata",0.330676359742822,-0.0486410696379053,-0.0496302855135413
"Carex_filifolia",0.307989404702943,0.119768582287099,0.342520577980039
"Astragalus_pectinatus",0.307090648896362,-0.00998486331552966,0.153617742187532
"Phlox_hoodii",0.29643573216475,0.0925328095143316,-0.0936464107522675
"Taraxacum_officinale",0.281864796249524,-0.0217849767392453,0.0497388602167046
"Lygodesmia_juncea",0.278946892648625,0.0223997931436557,0.165653935348274
"Selaginella_densa",0.276798465935543,0.131274975123783,-0.114291129104867
"Nassella_viridula",0.276758990398105,-0.0489639069376225,-0.311182719193985
"Artemisia_frigida",0.248828224921158,0.497173060765027,0.0777149599763565
"Liatris_punctata",0.244945463517643,0.0238767421809959,-0.00937813309825026
"Potentilla_hippiana",0.190519157228632,-0.020088672797939,0.0665989259877767
"Symphoricarpos_albus",0.159885946008426,-0.0404747006964553,-0.127344739934535
"Lomatium_foeniculaceum",0.146736317188919,0.0397928661841474,-0.111203848603006
"Distichlis_spicata",0.143470275151119,0.00156859119289203,0.337891662155826
"Grindelia_squarrosa",0.143470275151119,0.00156859119289203,0.337891662155826
"Hackelia_floribunda",0.143470275151119,0.00156859119289203,0.337891662155826
"Hedysarum_boreale",0.143470275151119,0.00156859119289203,0.337891662155826
"Lepidium_densiflorum",0.143470275151119,0.00156859119289203,0.337891662155826
"Opuntia_polyacantha",0.143470275151119,0.00156859119289203,0.337891662155826
"Spiraea_alba",0.143470275151119,0.00156859119289203,0.337891662155826
"Sporobolus_hookerianus",0.143470275151119,0.00156859119289203,0.337891662155826
"Pediomelum_esculentum",0.141684440362713,0.0391237671680762,-0.0655468089889606
"Vicia_americana",0.141030111487002,-0.0185908721332419,0.0812517039583806
"Escobaria_vivipara",0.109094564525128,0.00775341345311359,0.0439954271646884
"Hymenoxys_richardsonii",0.109094564525128,0.00775341345311359,0.0439954271646884
"Xanthisma_spinulosum",0.109094564525128,0.00775341345311359,0.0439954271646884
"Carex_duriuscula",0.104443820685312,0.0892757154233432,-0.31791139739606
"Juncus_balticus",0.104013257866624,-0.0367815412517272,0.341669247984186
"Hesperostipa_curtiseta",0.0873361971616706,0.482306502682167,-0.4159166860583
"Stellaria_longifolia",0.0729803332577583,0.138534066289907,0.0418704622707129
"Gutierrezia_sarothrae",0.0398691774707423,0.238191104324756,-0.0163707930135181
"Astragalus_bisulcatus",0.037112872449839,0.284239088032494,0.0313062187776169
"Penstemon_procerus",0.0364130109272984,0.280575956851854,0.0580856125751336
"Heterotheca_villosa",0.0259901291667029,0.293914703749098,0.128380755996128
"Pseudoroegneria_spicata",0.0243839944232022,-0.322232077181568,-0.133364172249893
"Muhlenbergia_cuspidata",0.0231145747233155,0.073533221003085,-0.0517913748486727
"Pulsatilla_patens",0.0173075547189539,0.215047207925483,-0.326818510090235
"Androsace_septentrionalis",0.00678956894047689,0.131774796955523,0.584580734691186
"Anemone_multifida",-0.0020063825092447,0.201527078160385,0.0379460280085653
"Carex",-0.00310121485022144,0.147932624795965,0.219934542259588
"Sporobolus_rigidus",-0.0107647033793088,0.287712237535563,0.355666296698279
"Arenaria_congesta",-0.0110844321074049,0.0326200385300856,-0.0518331362241896
"Erysimum_asperum",-0.0164531290181087,0.147382145814163,0.238556845540238
"Silene_parryi",-0.0164531290181087,0.147382145814163,0.238556845540238
"Poa_cusickii",-0.0171275277819639,-0.408678770015678,-0.108218718799175
"Potentilla_pensylvanica",-0.0330235169481569,-0.382339157285779,-0.151097843778446
"Orthocarpus_luteus",-0.0357015167990359,0.199955721822009,0.290561303106767
"Oxytropis_campestris",-0.0447391566236403,0.112242656772541,0.0384949904995409
"Hierochloe_odorata",-0.0468390417557453,0.131075931881609,-0.0724867900411187
"Juniperus_horizontalis",-0.0483374789069258,-0.366798871731045,-0.018006630796881
"Oxytropis_sericea",-0.0497200939222591,-0.311809084746502,0.0122366245990272
"Arctostaphylos_uva-ursi",-0.0510088354966703,-0.405356969215328,-0.0267260735065663
"Pseudotsuga_menziesii",-0.0510088354966703,-0.405356969215328,-0.0267260735065663
"Lithospermum_incisum",-0.0542383476138375,0.0606206227489827,0.275810487427011
"Equisetum_arvense",-0.0571852837832809,0.194912169976451,0.0186775990367603
"Symphyotrichum_ericoides",-0.0712799126422121,-0.0693795476774587,-0.0548445404082158
"Poa_glauca",-0.0743742347439963,0.134182167748019,-0.125056770295461
"Lupinus_argenteus",-0.0770613691439726,-0.38306000667348,-0.186145034158411
"Prunus_virginiana",-0.0770866724241675,0.187936727093671,0.378254819318789
"Festuca_campestris",-0.0874380600757449,-0.859178028309766,-0.204831051851108
"Cirsium_arvense",-0.0880342286765724,-0.211731104847958,-0.00221151531198749
"Erigeron_caespitosus",-0.0898552885669407,0.149448168971687,-0.133758411470019
