"plotnumber","sourceyr","ecoregion","ecoregion_title","ecodistr","ecodistr_title","ecosite","ecosite_title","ecosite_soil_component","mean_tree_age_year","dominanttree","dominantshrub","dominantherb","dominantcryptogam","laivascular","laitotal","position","slope_position_title","aspect","aspect_cardinal","slope","slope_class_degrees_title","drainage","drainage_title","seepage","elevation_m","mr","soil_moisture_class_title","pm","parent_material_title","order_soil","soil_order_title","grgroup","soil_great_group_title","subgrp","soil_subgroup_title","cf_percent_120","particlesizeclassname_dom_0_30","depth_to_bedrock_cm","depth_to_water_table_cm","depth_to_root_restricting_cm","depth_of_organic_matter_cm","total_live_cover_percent","unknown_taxa_total_cover_percent","number_of_taxa_after_transform","calcareous_0_30"
1346,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS6","Jack pine - trembling aspen/green alder","Moderately fresh loamy sand","53.5999984700000000","POPUTRE","VACCVIT","CARESPP","CLADMIT","41.5600000000000000","119.6100000000000000",3,"Mid Slope",220,"S",4,"5.0 – 9.0 degrees",3,"Well",1,536,"4.0000000000000000","Fresh","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","9","Dystric			","ELU","Eluviated",12,"Sandy",,,,4,"140.5100000000000000","0.2500000000000000",35,"non-calcareous"
1347,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP19","Black spruce treed bog","Moderately wet fibric organic","107.0000000000000000","PICEMAR","LEDUGRO","EQUISYL","PLEUSCH","113.4666667000000000","212.6166667000000000",4,"Lower Slope",999,"L",1,"0 – 0.5 degrees",7,"Very poor",1,385,"9.0000000000000000","Moderately Wet","1.0000000000000000","Fluvial","2.0000000000000000","Gleysolic","5","Gleysol","ORT","Orthic",0,"Sandy",,51,,48,"204.8700000000000000","2.7500000000000000",27,"non-calcareous"
1348,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS3","Jack pine/blueberry/lichen","Moderately fresh sand","52.2500000000000000","PINUBAN","ALNUCRI","CARESP1","PLEUSCH","97.8700000000000000","169.3200000000000000",2,"Upper Slope",270,"W",5,"9.0 – 15.0 degrees",2,"Rapid",0,539,"2.0000000000000000","Moderately Dry","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","9","Dystric			","ELU","Eluviated",68,"Bedrock",14,,14,4,"168.7600000000000000","0.2500000000000000",28,"non-calcareous"
1350,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS13","White birch - black spruce - trembling aspen","Moderately fresh sand","51.0000000000000000","POPUTRE","ROSAACI","LINNBOR","PLEUSCH","207.9550000000000000","210.9550000000000000",2,"Upper Slope",170,"S",6,"15.0 – 30.0 degrees",1,"Very rapid",0,525,"2.0000000000000000","Moderately Dry","2.0000000000000000","Glacial-fluvial","5.0000000000000000","Brunisolic","9","Dystric			","ELU","Eluviated",88,"Gravelly",,,,10,"164.8900000000000000","0.5000000000000000",32,"non-calcareous"
1351,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP9","White spruce - trembling aspen/feathermoss","Fresh sand","91.2500000000000000","PICEGLA","ALNUCRI","LINNBOR","PLEUSCH","290.7500000000000000","291.7500000000000000",3,"Mid Slope",999,"L",1,"0 – 0.5 degrees",5,"Imperfect",0,408,"8.0000000000000000","Very Moist","4.0000000000000000","Lacustrine","2.0000000000000000","Gleysolic","4","Luvic","ORT","Orthic",0,"Sandy",,,,11,"258.3700000000000000","10.7500000000000000",40,"non-calcareous"
1352,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP10","Trembling aspen - white spruce/feathermoss","Fresh silty loam","91.0000000000000000","POPUTRE","VIBUEDU","CORNCAN","LICHSPP","179.0050000000000000","180.3050000000000000",3,"Mid Slope",74,"E",2,"0.5 – 2.0 degrees",2,"Rapid",0,382,"2.0000000000000000","Moderately Dry","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","8","Eutric				","ORT","Orthic",2,"Sandy",,62,,14,"176.6900000000000000","0.5000000000000000",42,"non-calcareous"
1353,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP9","White spruce - trembling aspen/feathermoss","Fresh sand","64.4000015300000000","PICEGLA","CORNSTO","CORNCAN","HYLOSPL","131.6650000000000000","145.0150000000000000",2,"Upper Slope",230,"W",4,"5.0 – 9.0 degrees",4,"Moderately well",0,399,"5.0000000000000000","Very Fresh","1.0000000000000000","Fluvial","5.0000000000000000","Brunisolic","8","Eutric				","ELU","Eluviated",15,"Sandy",110,,110,17,"144.9300000000000000","1.7500000000000000",60,"non-calcareous"
1354,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP18","Black spruce - tamarack treed swamp","Wet humic organic","82.3333358800000000","PICEMAR","LEDUGRO","GRAMSPP","PLEUSCH","176.9500000000000000","202.6500000000000000",4,"Lower Slope",999,"L",1,"0 – 0.5 degrees",7,"Very poor",1,390,"10.0000000000000000","Wet","7.0000000000000000","Organic","1.0000000000000000","Organic","1","Fibrisol","TYP","Typic",0,"Organic Fibric",,42,,160,"196.9800000000000000","20.0000000000000000",43,"non-calcareous"
1355,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS13","White birch - black spruce - trembling aspen","Moderately fresh sand","49.7500000000000000","BETUPAP","LEDUGRO","RUBUCHA","PTILCIL","223.3000000000000000","225.3000000000000000",4,"Lower Slope",80,"E",3,"2.0 – 5.0 degrees",6,"Poor",1,523,"8.0000000000000000","Very Moist","5.0000000000000000","Glacial-lacustrine","2.0000000000000000","Gleysolic","5","Gleysol","REG","Rego",4,"Coarse-Silty",,,,8,"225.5000000000000000","3.0000000000000000",36,"non-calcareous"
1356,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS4","Jack pine - black spruce/feathermoss","Moderately dry sand","57.5000000000000000","PINUBAN","LEDUGRO","POLYVIR","PLEUSCH","94.0300000000000000","120.2800000000000000",2,"Upper Slope",270,"W",3,"2.0 – 5.0 degrees",7,"Very poor",1,541,"8.0000000000000000","Very Moist","2.0000000000000000","Glacial-fluvial","2.0000000000000000","Gleysolic","5","Gleysol","ORT","Orthic",58,"Loamy",80,68,80,9,"125.9100000000000000","0.0000000000000000",29,"non-calcareous"
