"","V1","V2","V3","V4"
"1",0.382474261799031,0.0758339818994665,0.0517511793335463,0.243526122605818
"3",0.415507760146522,0.0957694450234008,0.0653213889444679,0.244465870908744
"8",0.404998064655668,0.168469070876294,0.159907786955452,0.342545247288277
"9",0.378068564110411,0.0365168823159204,0.0144668786542601,0.22255689723666
"10",0.388914405970069,0.0331975289781028,0.0152452901243341,0.224930687808817
"11",0.329966269319803,0.0239161534414265,0.0054896634434272,0.167490910687768
"12",0.276878353764671,0.0383851563258643,0.0103468693609765,0.155487170833003
"14",0.362111571896057,0.179448101645187,0.149952178142869,0.325324064108967
"18",0.314264591272737,0.0682070850714119,0.0283328711701733,0.240550341456944
"20",0.370192744099433,0.167840351778197,0.125680681465124,0.256934424668969
"21",0.40084446422188,0.0835024906104358,0.0851692267042914,0.247955315043943
"23",0.330313526097621,0.0471516611626304,0.0110896442005835,0.17517566045948
"24",0.321494402618556,0.0182507679007072,0.00629699735324197,0.145661670682041
"30",0.252628544541869,0.0698819798776647,0.0327195523037639,0.119140834279687
"31",0.308682391114407,0.105596778827154,0.0493229455437095,0.198306244350722
"33",0.335925253515747,0.0437150224326438,0.0110990421846218,0.156218210609615
"35",0.265027618097467,0.062062163889969,0.0393608306959233,0.148098103447084
"37",0.358738666526874,0.161693449202062,0.134772822574674,0.286051992807222
"41",0.276062428961111,0.0380774970088727,0.00809709021120679,0.114581648392712
"51",0.0295743505728239,0.335879771566721,0.163295048966056,0.105017188940413
"52",0.0524675959676278,0.351422918380454,0.170972644847449,0.125049290300168
"53",0.242834362980011,0.321669158556507,0.183362841499689,0.354379070214115
"54",0.0691384232514441,0.382200330479854,0.203163214596307,0.232933485708591
"55",0.0339593801993239,0.300266198229959,0.496466216455435,0.152068987959898
"56",0.150489819907598,0.270789169870483,0.151665346917487,0.19151947551739
"58",0.274232508237138,0.087745689085771,0.0803037682279908,0.231581282134347
"59",0.195101955345312,0.313728990353217,0.182535037276168,0.331291427996833
"60",0.0500445413305756,0.403692257478539,0.31826469290224,0.259547837805232
"61",0.203743810970299,0.33315771023098,0.177724522034913,0.324482795588678
"63",0.20795579181173,0.357847389074437,0.198330625001991,0.349958829566097
"67",0.209819444833854,0.290440313453432,0.187116590406819,0.342544295286723
"68",0.166664642737436,0.340180604687196,0.191206636359398,0.315637487908995
"69",0.138958790279775,0.326253684500779,0.181303683397601,0.273308343813255
"73",0.0165962686973788,0.311063793362819,0.201111301404827,0.0856490603102584
"74",0.0233869418514105,0.290261997630898,0.11607718056939,0.0706733819151537
"75",0.0344073788171132,0.472058217657043,0.398217553279041,0.200374471251844
"76",0.0407999312293738,0.434991686201128,0.28685185549568,0.162654247975528
"77",0.0258830925252772,0.317959784562919,0.505079027727364,0.140133778409129
"78",0.0314773073914296,0.4882071866649,0.416804275147479,0.187561048377089
"80",0.0608312727866582,0.4251921018287,0.322499239576856,0.21004246478827
"82",0.0227703126303789,0.283155966885476,0.110059483779572,0.0681856231763873
"83",0.0177695392499141,0.265891128911903,0.145253543257971,0.0681287712028042
"84",0.0376440442718576,0.359910795421087,0.206510490131431,0.151379168877584
"86",0.0219559410022556,0.339578557280018,0.171185693142225,0.0911835186965782
"88",0.0474862669133699,0.391448188282629,0.213285991930993,0.141461942320466
"89",0.056434707292864,0.394146547249527,0.228937826255732,0.168037020018602
"90",0.0408663292631073,0.346943347792353,0.208149417566765,0.116342393299715
"93",0.073133478553675,0.407516846744002,0.543608929666313,0.269477518107872
"94",0.0999015935238539,0.529062721351994,0.398811003111428,0.288427936107466
"95",0.0720165826055087,0.485488025315027,0.492609112703327,0.268647598148597
"98",0.0474276014162892,0.376925631486126,0.194205148263661,0.154585547039864
"99",0.0552343851169339,0.272985977900715,0.14774237348185,0.162531695444142
"104",0.249676643228324,0.302127936149469,0.274416648559354,0.4282723170249
"110",0.106788543487828,0.466379338981281,0.340972873731087,0.276393304258971
"111",0.0793638247881712,0.521453464716139,0.449440502888227,0.291511556539338
"112",0.0849074795165569,0.484877707354306,0.472347047210528,0.301382234265646
"113",0.118274716277315,0.430847508191583,0.398824881244316,0.310948495319009
"116",0.119340491050905,0.446749710919434,0.383275318480749,0.351229077552273
"117",0.255686151536784,0.231053628594799,0.173456712435897,0.29557372370251
"118",0.153649237843103,0.41080502901149,0.337195903903346,0.35744174743774
"119",0.272089593362094,0.306779010159584,0.207149543353713,0.433936966653213
"120",0.202634392571345,0.380114968511448,0.298134828239733,0.408173147630279
"127",0.163916126257529,0.459844172435519,0.323139565362662,0.33801016504092
"128",0.160077359444041,0.467024232693619,0.321996977422765,0.338871617240399
"130",0.120226745172854,0.273289118004913,0.128673740140231,0.225884278402423
"131",0.171655605111095,0.242332558449123,0.200816168937525,0.337506608472314
"134",0.0562599766656578,0.419957534474513,0.551079606910525,0.207424294945968
"137",0.175428591112039,0.415664976907134,0.350956418911348,0.38311213594363
"138",0.16365436934899,0.447854001086261,0.293278084362953,0.316038985225337
"140",0.0768409134683486,0.502841693338479,0.414538371228073,0.30568386857787
"141",0.0629438002342909,0.405629734573385,0.529341901289292,0.218745764010781
"145",0.158014032471762,0.436433707651675,0.303188008792988,0.294926889784277
"150",0.0695386605581371,0.393691457071092,0.493663620575703,0.240400388523553
"151",0.0839563151699162,0.436485270551822,0.351123146281619,0.242870633547447
"152",0.120317991734858,0.397356826594399,0.284580817663079,0.269635581062648
"153",0.0696652710991929,0.373951473241505,0.204722144955593,0.147503179734799
"154",0.21890249686981,0.314325964928411,0.198255917126275,0.365792188188017
"156",0.0731209820776732,0.441422492994633,0.454815737093911,0.273838670722168
"158",0.129993593733567,0.448342614154845,0.277878051729773,0.258047856461943
"159",0.065885477941771,0.165918516982748,0.0972478218363818,0.115663566114958
"160",0.0494347327190362,0.423555196888584,0.339306674561681,0.154687566094043
"163",0.099272178484724,0.416137442105725,0.295386512510308,0.312565602539594
"165",0.139706589462365,0.484861276198017,0.326531918625566,0.334439976949333
"166",0.149907960363551,0.290080697198058,0.143917962181226,0.277755522197396
"168",0.132379338008616,0.31191325468854,0.170080564319123,0.20636442617258
"169",0.101530789288428,0.515319602482451,0.418215750886813,0.281449973054159
"170",0.0653208101096576,0.494936387402458,0.405712997284448,0.217407151722102
"173",0.0891077567115225,0.360956634527141,0.205081868158527,0.230541586880941
"174",0.0903570217944678,0.488092526450849,0.392853234420234,0.269881649686825
"175",0.0363408159708434,0.316729233960964,0.210424272641358,0.104371664054746
