"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"55",0.647373441447928,0.201768833311691,0.383079006614023,0.33211586350493,0.33980271220857,0.249602883343214,0.511647172891,0.264394210728792,0.365819849467887,0.353337394696627
"67",0.206743561255216,0.550219165872404,0.260095008027257,0.348066615480489,0.429620404074202,0.192657686789084,0.200780504541111,0.375864153772146,0.269787222301892,0.423027894409404
"75",0.258019922610773,0.316199436286729,0.75620547935381,0.576570614346985,0.432541038944717,0.298077949689913,0.448843913001701,0.331113852877206,0.408145725647419,0.694739828543846
"77",0.585345655593067,0.360532036173506,0.33942636252386,0.339414499238856,0.484360718418606,0.288187259054417,0.527943767385876,0.42028673034709,0.461424260595138,0.398487777564656
"78",0.302131141720092,0.335315896044724,0.696929546170431,0.672160363345419,0.413454096858754,0.47505346015003,0.46141119570231,0.492355084182238,0.546610303374163,0.656690605763835
"151",0.232429012016314,0.207087482897472,0.689459856409163,0.532901009302217,0.328937118149989,0.308847215168137,0.4109885102615,0.288300393574276,0.419145692763112,0.578375591409969
"156",0.373532914845935,0.414058837831901,0.465120257521801,0.393194433796402,0.598197935609763,0.244562372265284,0.453090951070526,0.388393442697767,0.481376118603281,0.523000224205182
"170",0.16707766775329,0.177733962525518,0.169308953120116,0.334786937545631,0.145999948571504,0.665024834674168,0.143158107420543,0.463591514822146,0.340265889259847,0.183039524646543
"178",0.255096857258208,0.237979306301043,0.591985723053864,0.502224190107698,0.385669723847852,0.289258131674482,0.397009781094412,0.29593912986713,0.401826914900228,0.524379617545361
"220",0.711706300608639,0.213009505419131,0.330020843840707,0.310481179926067,0.314094602631662,0.263241158708224,0.589121292112571,0.288840870389869,0.43507104720498,0.30085123281445
"584",0.328617434591266,0.363341810371229,0.76450755504762,0.5957122819144,0.548000512781362,0.30539656685154,0.504389995171175,0.397757503944345,0.49603283784144,0.747601649977474
"585",0.339002604271305,0.347536110201165,0.795684710741996,0.597080236132843,0.541497640201268,0.308149923430496,0.517750335607382,0.386314474656015,0.489322598168602,0.748239112604651
"596",0.414103086154624,0.307011911160468,0.756821748729405,0.59303422743913,0.501535335913183,0.325986023729479,0.607247929214164,0.388424114139765,0.584036599781635,0.69736398826774
"603",0.320943332259862,0.328257659399745,0.756474896564258,0.621516573052506,0.492878323516645,0.358726730688599,0.489929594883234,0.405803531377216,0.507278695070737,0.692668586942013
"604",0.382097860625481,0.4589133286496,0.525083177380813,0.55102355069558,0.626488412260877,0.423760335951248,0.454828371400639,0.551530336310921,0.584961723155919,0.596078178957811
"611",0.238536924210875,0.269862248304308,0.239582641736098,0.41113161977491,0.227204387104816,0.703365302709457,0.217961856224076,0.549166565415774,0.402402160253358,0.282592464020155
"619",0.304054955957426,0.252259817114838,0.767791381409629,0.540571688924865,0.444690223963275,0.283289381082447,0.48969261211721,0.295941543476267,0.419900685842132,0.660693008403173
"621",0.622299729123672,0.336894459690991,0.511389970186398,0.466675239821491,0.501561315359685,0.283388041631783,0.600481769820687,0.387128199588718,0.525228330328406,0.537192137999985
