"","cluster","neighbor","sil_width","fec_vegfor_log_hc_cut_ward_4"
"1483",1,2,0.100529612131847,2
"564",1,2,0.0993004537564954,4
"30",1,2,0.0976243148023808,4
"1944",1,2,0.0952014027769711,2
"1137",1,2,0.0943961990012262,2
"1603",1,2,0.093966121161662,2
"1401",1,2,0.0937092726417599,2
"673",1,2,0.0935707043669542,4
"318",1,2,0.0930190676748825,4
"332",1,2,0.0926395139090234,4
"1087",1,2,0.0911294599638333,4
"791",1,2,0.0909202289631471,2
"117",1,2,0.0893546237732507,2
"1799",1,2,0.0856190448577031,2
"1028",1,2,0.0855117201839872,2
"1476",1,2,0.0819928209922893,4
"2040",1,2,0.0819399225702738,4
"1738",1,2,0.0804506948820409,2
"807",1,2,0.079914834508751,2
"703",1,2,0.0793529183959695,2
"1432",1,2,0.0764446542438687,3
"1057",1,2,0.0744169517962319,2
"568",1,2,0.0743848793210837,2
"1583",1,2,0.0731126402785192,2
"635",1,2,0.0731062526448448,4
"131",1,2,0.072275539091855,2
"1817",1,2,0.0716023955281472,2
"429",1,2,0.0689403200532243,2
"622",1,2,0.0662138170092227,2
"1969",1,2,0.0661235391158387,2
"204",1,2,0.0639439508368403,2
"1060",1,2,0.0628351324154865,2
"562",1,2,0.0625830218155764,2
"1382",1,2,0.0611121112934977,2
"298",1,2,0.0609126015655985,3
"1941",1,2,0.0591825873455766,2
"1740",1,2,0.0590917366678571,2
"1915",1,2,0.0585852205308719,2
"1577",1,2,0.0579886325830358,3
"758",1,2,0.0559145147528228,4
"413",1,2,0.0549355755816269,2
"433",1,2,0.0524345726543941,4
"878",1,2,0.0512406301891051,2
"299",1,2,0.0510119688196725,2
"1192",1,2,0.0501276233056388,3
"922",1,2,0.0495231976855089,4
"525",1,2,0.0493134785697884,4
"154",1,2,0.0492751132603053,4
"1895",1,2,0.0491318871449982,2
"1954",1,2,0.0490500117134959,4
"1184",1,2,0.0478061079376114,2
"53",1,2,0.0474274781457035,2
"455",1,2,0.046401363171004,2
"676",1,2,0.0463608650579892,2
"578",1,2,0.0455322293898702,2
"67",1,2,0.0452655282741227,2
"1325",1,2,0.0435923685008293,2
"1784",1,2,0.041858342819165,2
"561",1,2,0.0367253275140623,2
"325",1,2,0.0366100436697636,2
"844",1,2,0.0358722202839793,3
"1897",1,2,0.0336087074607263,4
"887",1,2,0.0327649002317125,2
"287",1,2,0.0315278728410102,2
"1091",1,2,0.0298651516284031,2
"1403",1,2,0.0287791071301463,2
"885",1,2,0.0248873034618874,2
"1933",1,2,0.0239601524028817,2
"1446",1,2,0.0168698780896431,2
"1357",1,2,0.0159983866126936,4
"1742",1,2,0.015888838867915,4
"912",1,2,0.0111310350557583,4
"59",1,2,0.0104133261155671,4
"1986",1,2,0.00889481855048224,4
"1804",1,2,0.00840954754770329,4
"1365",1,2,0.00807379904888861,4
"1494",1,2,0.00779970198964475,4
"1924",1,2,0.0066709130834699,4
"1896",1,2,0.00630794292917747,2
"1555",1,2,0.00241711979058301,4
"1400",1,2,0.00179755544043358,4
"1366",1,2,-0.00122219497745346,4
"309",1,2,-0.00668185716248038,2
"61",1,2,-0.00728505969861537,4
"1094",1,2,-0.0147642467054879,2
"314",1,2,-0.0187792423870913,4
"166",1,2,-0.0205176815506504,4
"1090",1,2,-0.0217816427860378,2
"452",1,2,-0.0312964576244948,2
"536",1,2,-0.0334833126007403,2
"1719",1,2,-0.03580531038373,2
"255",1,2,-0.0436133728790296,2
"1807",1,2,-0.0437088813020461,3
"1550",1,2,-0.0552671022134977,4
"776",1,2,-0.0625618934298864,2
"1968",1,2,-0.0783466406644411,2
"290",1,2,-0.0843678673958796,2
"849",1,2,-0.104498116397033,4
"1315",2,1,0.474107314548064,4
"808",2,1,0.470755922622945,4
"853",2,1,0.463298800586436,4
"803",2,1,0.459606468553583,4
"1559",2,1,0.457257991378603,4
"1574",2,1,0.455644464874744,2
"1593",2,1,0.455582107280127,2
"728",2,1,0.45449502577267,2
"866",2,1,0.45213820098032,2
"1329",2,1,0.451512520866012,2
"1657",2,1,0.450206946195182,2
"1636",2,1,0.448420792965864,2
"1619",2,1,0.448265651333048,2
"1624",2,1,0.448033868439306,3
"1394",2,1,0.446869352103067,2
"1330",2,1,0.445859842923612,2
"1303",2,1,0.445729363216037,2
"1540",2,1,0.445414392358283,2
"828",2,1,0.445120876042516,4
"865",2,1,0.444014387764899,2
"1362",2,1,0.443911136628206,4
"1537",2,1,0.443725301290476,2
"664",2,1,0.442881992561103,2
"585",2,1,0.442679960134481,2
"1334",2,1,0.442091963692404,4
"1367",2,1,0.442040275024469,4
"1573",2,1,0.441986791531841,2
"1341",2,1,0.441781130005309,4
"1318",2,1,0.44164772331573,2
"1616",2,1,0.441606874327272,4
"1356",2,1,0.440973241340714,4
"1652",2,1,0.44025345078218,4
"1316",2,1,0.439790468905734,4
"509",2,1,0.439657917870765,4
"768",2,1,0.439252128008027,2
"1645",2,1,0.438954832106658,2
"1592",2,1,0.437590090931954,2
"1620",2,1,0.437152211723986,2
"843",2,1,0.435658258750659,4
"618",2,1,0.435223134567219,2
"831",2,1,0.434862873054455,2
"1637",2,1,0.43465394809298,4
"630",2,1,0.433746303632884,2
"862",2,1,0.432876287267069,2
"1291",2,1,0.432799519625752,2
"1328",2,1,0.432287297443721,2
"1333",2,1,0.431913148337547,2
"1342",2,1,0.431139431201001,2
"658",2,1,0.430870897890849,2
"597",2,1,0.429663103401875,2
"824",2,1,0.429527239357784,2
"1348",2,1,0.429045524404313,2
"1654",2,1,0.428165421985608,2
"1681",2,1,0.427908645470549,2
"1535",2,1,0.427701622474879,2
"1644",2,1,0.427260300764371,2
"1024",2,1,0.427219876540074,2
"1642",2,1,0.426291333956989,2
"1571",2,1,0.426230163255043,3
"1293",2,1,0.425747217826652,2
"816",2,1,0.425297035128274,2
"1326",2,1,0.424830063343126,2
"1626",2,1,0.424678154174892,2
"1119",2,1,0.424582141738205,2
"1327",2,1,0.424008014040885,4
"341",2,1,0.423218318424664,2
"1551",2,1,0.422890761520903,2
"1704",2,1,0.422708567322028,3
"1699",2,1,0.422259153709383,2
"1706",2,1,0.421965790176124,2
"1320",2,1,0.42194044805967,4
"1285",2,1,0.421673800245401,2
"1610",2,1,0.421495502740072,2
"1125",2,1,0.421169836348741,3
"661",2,1,0.421164362903354,2
"1313",2,1,0.42110084635201,2
"1121",2,1,0.421047533814274,2
"1632",2,1,0.421027456833543,2
"614",2,1,0.420637769539976,2
"908",2,1,0.419969927035929,2
"1705",2,1,0.419766241562016,2
"1307",2,1,0.419704675718875,2
"857",2,1,0.419205455515813,2
"615",2,1,0.418853353590437,2
"869",2,1,0.41865203868891,2
"1622",2,1,0.418161762273657,2
"1484",2,1,0.41787398374667,2
"1591",2,1,0.417354679852039,2
"1629",2,1,0.416659372232973,2
"1627",2,1,0.416324924248281,2
"846",2,1,0.416055666078665,2
"604",2,1,0.415435259909967,2
"584",2,1,0.415283154982091,2
"1536",2,1,0.415209862940583,1
"833",2,1,0.415094052033597,4
"1304",2,1,0.414572326008233,2
"1337",2,1,0.413921468714369,2
"825",2,1,0.41382668562378,4
"1700",2,1,0.413764426676366,2
"1378",2,1,0.413665703883158,2
"573",2,1,0.413466864756042,3
"1339",2,1,0.413200524917586,4
"1288",2,1,0.411687936794792,4
"1372",2,1,0.411511665373386,2
"893",2,1,0.410893912634413,4
"1332",2,1,0.410700647600916,2
"1538",2,1,0.410683702850006,2
"1628",2,1,0.410584872789972,2
"1609",2,1,0.410491284783746,2
"1335",2,1,0.410395094450392,2
"218",2,1,0.410280356190214,2
"804",2,1,0.409837434188361,2
"997",2,1,0.408761712414186,2
"1309",2,1,0.408617050059757,2
"620",2,1,0.408004949591229,2
"785",2,1,0.407820126953386,2
"1566",2,1,0.407634900434014,2
"1729",2,1,0.407480101514003,2
"1572",2,1,0.407446838306945,3
"1568",2,1,0.407393447128978,2
"1122",2,1,0.407230070533198,2
"607",2,1,0.407172070988822,2
"1310",2,1,0.407033520138264,2
"1263",2,1,0.406793201342263,2
"1296",2,1,0.406601976640067,2
"619",2,1,0.406026727243182,2
"724",2,1,0.405618633912945,4
"740",2,1,0.405068247611192,4
"1068",2,1,0.405022874178121,2
"603",2,1,0.405015151940395,4
"1132",2,1,0.403796205840327,4
"848",2,1,0.403360155978611,4
"357",2,1,0.402993138713935,2
"596",2,1,0.402383553658637,2
"1127",2,1,0.402017103682325,2
"1037",2,1,0.401984777939306,2
"792",2,1,0.401833502078745,4
"1273",2,1,0.401656187539885,2
"1370",2,1,0.401539174763064,4
"826",2,1,0.401284836087714,2
"1690",2,1,0.401181622165853,2
"1564",2,1,0.401153661003187,2
"363",2,1,0.400576253272574,2
"1659",2,1,0.400396793193341,2
"1549",2,1,0.399663307894655,2
"1614",2,1,0.399368596230544,2
"814",2,1,0.39846260561659,1
"1688",2,1,0.398237180135589,2
"860",2,1,0.397291126724226,2
"1633",2,1,0.396933585205949,2
"1701",2,1,0.396869027949815,3
"903",2,1,0.396141577760136,3
"1380",2,1,0.395341619221913,2
"765",2,1,0.395214323842672,2
"1373",2,1,0.394887176514807,2
"1562",2,1,0.394870627777524,2
"1317",2,1,0.394633862787851,2
"859",2,1,0.394326859447235,2
"1294",2,1,0.393544825283572,2
"662",2,1,0.392950177273215,2
"1696",2,1,0.392881204025347,2
"1618",2,1,0.392780572509281,2
"78",2,1,0.392766068693132,3
"592",2,1,0.392565500933989,2
"387",2,1,0.392539021389254,2
"278",2,1,0.392335527924073,2
"310",2,1,0.39195890559646,2
"1597",2,1,0.391823923862056,3
"1649",2,1,0.391804919746037,3
"666",2,1,0.391740240348397,3
"1379",2,1,0.39149782503553,2
"1054",2,1,0.391353681750141,3
"1276",2,1,0.391338909833841,2
"1641",2,1,0.391202574961092,2
"1731",2,1,0.391190404473701,2
"608",2,1,0.391112654675704,2
"1253",2,1,0.391003203336284,2
"1459",2,1,0.390694760679031,2
"1523",2,1,0.390675112050824,2
"1542",2,1,0.389940257659523,2
"1170",2,1,0.389838800703995,2
"779",2,1,0.389339480004949,2
"830",2,1,0.388955922633435,2
"300",2,1,0.388889923735031,2
"1595",2,1,0.388443196592931,2
"1709",2,1,0.388030385337217,2
"516",2,1,0.387615766453492,2
"1345",2,1,0.387547998522057,3
"611",2,1,0.387353548533515,2
"1522",2,1,0.386823077578039,2
"856",2,1,0.386752628505983,2
"930",2,1,0.386460241066039,2
"1683",2,1,0.386448777893907,3
"1546",2,1,0.385407469668259,2
"1289",2,1,0.385152121702796,2
"1298",2,1,0.385021018277566,2
"1615",2,1,0.384944202124876,2
"1728",2,1,0.384494852749601,4
"1521",2,1,0.384485252327279,1
"361",2,1,0.384171076409444,1
"1570",2,1,0.383107481251925,3
"616",2,1,0.382623662467098,3
"613",2,1,0.381787328673141,3
"277",2,1,0.381659207315777,3
"652",2,1,0.381073571289608,3
"840",2,1,0.380875395608324,3
"1752",2,1,0.380862075941371,3
"1602",2,1,0.38084016783017,2
"1724",2,1,0.380750691672353,2
"1065",2,1,0.380746084167071,1
"1713",2,1,0.380638405691948,3
"769",2,1,0.380613758908702,2
"410",2,1,0.38053010007244,3
"1254",2,1,0.380326367430402,1
"1066",2,1,0.380284698670922,1
"368",2,1,0.380128864908625,4
"818",2,1,0.379981918603247,4
"761",2,1,0.379693595251242,4
"1067",2,1,0.379655910174552,2
"656",2,1,0.379646381363025,2
"297",2,1,0.379486663390577,1
"1377",2,1,0.378958792790546,2
"891",2,1,0.378558463002394,2
"815",2,1,0.378479721590139,1
"1002",2,1,0.377993453415277,2
"1702",2,1,0.377892266583714,2
"214",2,1,0.377284298502668,1
"784",2,1,0.377104168321717,2
"1270",2,1,0.376910955566788,1
"995",2,1,0.376883984340111,2
"1055",2,1,0.376776824762775,1
"170",2,1,0.376761973315786,4
"213",2,1,0.376745614895065,2
"111",2,1,0.376296985197261,2
"926",2,1,0.376295090896269,2
"1707",2,1,0.375843074224636,2
"252",2,1,0.375372335955189,2
"1386",2,1,0.375262254260095,4
"978",2,1,0.374942171909913,1
"621",2,1,0.374379982676367,2
"344",2,1,0.373992018235799,2
"1651",2,1,0.373785869056274,4
"1677",2,1,0.373238459766992,2
"864",2,1,0.372659455494793,4
"839",2,1,0.372172010337934,4
"1547",2,1,0.371835224259564,2
"1113",2,1,0.371598180890798,2
"1108",2,1,0.371417033820543,2
"762",2,1,0.371220796157433,2
"179",2,1,0.371121061543677,2
"75",2,1,0.37047720229112,1
"1722",2,1,0.37047184488349,2
"806",2,1,0.370175250574302,2
"655",2,1,0.370089467262776,1
"1343",2,1,0.369754643168923,1
"821",2,1,0.369549113659736,1
"508",2,1,0.369482740707579,1
"281",2,1,0.369436495685411,1
"1678",2,1,0.369340818565325,1
"1064",2,1,0.368976861659381,1
"1112",2,1,0.36891779510814,2
"1102",2,1,0.368773157249883,1
"653",2,1,0.368590554442729,1
"1608",2,1,0.368585615452981,4
"484",2,1,0.368584919851013,1
"529",2,1,0.368454872430752,1
"574",2,1,0.368375537952156,1
"980",2,1,0.368229596345302,4
"1120",2,1,0.368119816281231,4
"220",2,1,0.368044961305817,2
"1130",2,1,0.368030648025858,2
"1279",2,1,0.367556356586928,4
"1708",2,1,0.367554510537375,2
"982",2,1,0.367373126846885,4
"335",2,1,0.367196685918597,4
"95",2,1,0.366997912952364,2
"352",2,1,0.3667223774658,2
"924",2,1,0.366608282173217,3
"1613",2,1,0.366504223079722,2
"1601",2,1,0.366428813675836,4
"1369",2,1,0.365687233705007,2
"1278",2,1,0.365513679422159,2
"1760",2,1,0.365047120577585,2
"169",2,1,0.364575834938217,2
"94",2,1,0.364394423023373,2
"1798",2,1,0.364227049317164,2
"1749",2,1,0.364204784556252,3
"1638",2,1,0.363961521279948,2
"993",2,1,0.363717101978922,2
"1612",2,1,0.363510196250108,2
"1665",2,1,0.363187487606289,2
"950",2,1,0.363039994079006,3
"211",2,1,0.36280078331977,2
"1269",2,1,0.362644387540034,2
"1039",2,1,0.362435858398383,2
"910",2,1,0.362123271944528,2
"362",2,1,0.361932095486776,2
"1686",2,1,0.36164660417527,2
"1131",2,1,0.361604137012551,2
"1623",2,1,0.361372133659328,2
"667",2,1,0.36105050991033,2
"842",2,1,0.361012431893911,2
"1384",2,1,0.36065714554041,2
"265",2,1,0.360562192143349,2
"1530",2,1,0.360168640275177,4
"1617",2,1,0.360089657603686,4
"955",2,1,0.360011128098216,4
"1634",2,1,0.359934795440536,4
"1338",2,1,0.359733869175444,4
"1109",2,1,0.359116075129502,4
"1646",2,1,0.359089682956162,4
"953",2,1,0.359029416795507,2
"909",2,1,0.358931407061797,4
"1099",2,1,0.35869174545047,2
"377",2,1,0.358682348522015,4
"1826",2,1,0.358674777842292,4
"1301",2,1,0.358655824217123,4
"243",2,1,0.358606028453007,2
"663",2,1,0.358204892034075,4
"918",2,1,0.358193516214204,4
"1404",2,1,0.357967027958796,2
"771",2,1,0.357028929184064,3
"1727",2,1,0.356938148940396,4
"960",2,1,0.356283535660925,2
"841",2,1,0.356180328402812,2
"827",2,1,0.356092830380027,4
"1118",2,1,0.355517401000854,4
"956",2,1,0.355334064784073,4
"949",2,1,0.355026029984705,2
"223",2,1,0.354979459483922,4
"244",2,1,0.354710239046789,2
"1004",2,1,0.354708380028689,4
"600",2,1,0.354137217675744,3
"1650",2,1,0.353992031010788,2
"813",2,1,0.353819771054998,4
"929",2,1,0.35379012955527,3
"1765",2,1,0.353597155047091,4
"1648",2,1,0.353488677159828,4
"1123",2,1,0.353353474727579,4
"809",2,1,0.352902159001368,4
"1565",2,1,0.352632653721816,4
"1753",2,1,0.352491250926712,2
"1061",2,1,0.352472013536425,4
"996",2,1,0.352390775141156,4
"855",2,1,0.352279817444877,4
"1021",2,1,0.351853229786939,4
"575",2,1,0.351802125003823,2
"1557",2,1,0.351462920041288,4
"938",2,1,0.35104487158949,4
"850",2,1,0.350755933990338,4
"225",2,1,0.350646474421265,4
"1640",2,1,0.350379019848274,4
"1252",2,1,0.350343063727038,4
"609",2,1,0.35024584440176,4
"1020",2,1,0.350153184720765,4
"987",2,1,0.350007487349561,4
"1734",2,1,0.349532252851192,2
"773",2,1,0.34944402678879,4
"301",2,1,0.349391688686659,4
"1569",2,1,0.349316876524454,4
"1107",2,1,0.349220520199905,2
"1001",2,1,0.348659660345633,2
"1053",2,1,0.348630399796308,2
