"","cluster","neighbor","sil_width"
"1003",2,1,0.327740468447482
"283",2,1,0.327501021908377
"1855",2,1,0.327205188327938
"296",2,1,0.327166403047623
"760",2,1,0.327111555665667
"1703",2,1,0.326940471287752
"1721",2,1,0.326889492582021
"897",2,1,0.326806050507859
"1663",2,1,0.32623155701221
"954",2,1,0.326049558817877
"209",2,1,0.32561641951143
"1059",2,1,0.325541653111817
"1675",2,1,0.324886155871899
"920",2,1,0.324841360880078
"206",2,1,0.324205022904717
"360",2,1,0.323944775907632
"759",2,1,0.323851756227727
"2036",2,1,0.323803492541075
"1527",2,1,0.323210696608774
"1767",2,1,0.323200215122624
"1392",2,1,0.322824071309122
"1656",2,1,0.322670323307765
"1398",2,1,0.32263052194075
"1758",2,1,0.322136671980472
"976",2,1,0.321966631604966
"1544",2,1,0.321895354527394
"1204",2,1,0.321084073849692
"216",2,1,0.320999016037243
"894",2,1,0.320750393126154
"454",2,1,0.320746215812046
"1005",2,1,0.320685185198365
"1545",2,1,0.320459039908554
"820",2,1,0.320386092728273
"349",2,1,0.320356706624988
"1058",2,1,0.320039052763712
"896",2,1,0.319677388128281
"1095",2,1,0.319185410274219
"1689",2,1,0.319142321233156
"1324",2,1,0.31912874938007
"774",2,1,0.319092628879737
"199",2,1,0.318063201535418
