plant_community_code,analysis_name,prominence_value,constancy_percent
CPA34,Elymus_lanceolatus,1.35,100
CPA34,Festuca_hallii,8.35,100
CPA34,Gutierrezia_sarothrae,1.2,100
CPA34,Helictochloa_hookeri,0.21,50
CPA34,Hesperostipa_curtiseta,9.75,100
CPA34,Heterotheca_villosa,0.71,50
CPA34,Koeleria_macrantha,2.3,100
CPA34,Pascopyrum_smithii,0.35,50
CPA34,Penstemon_procerus,2.19,50
CPA34,Poa_interior,0.57,50
CPA34,Poa_secunda,0.21,50
CPA34,Rosa_arkansana,0.07,50
CPA34,Solidago_missouriensis,0.1,100
CPA34,Sphaeralcea_coccinea,0.57,50
CPA34,Symphoricarpos_occidentalis,0.14,50
CPA34,Symphyotrichum_falcatum,0.14,50
CPA34,Thermopsis_rhombifolia,1.63,50
CPA49,Achillea_millefolium,0.42,51.3
CPA49,Agrostis_scabra,0.16,33.3
CPA49,Androsace_septentrionalis,0.18,48.7
CPA49,Anemone_multifida,0.23,28.2
CPA49,Antennaria_parvifolia,0.95,35.9
CPA49,Artemisia_campestris,0.53,30.8
CPA49,Artemisia_frigida,7.71,100
CPA49,Artemisia_ludoviciana,0.74,59
CPA49,Astragalus_laxmannii,0.72,41
CPA49,Bouteloua_gracilis,2.64,71.8
CPA49,Campanula_rotundifolia,0.24,35.9
CPA49,Carex,4.55,94.9
CPA49,Cerastium_arvense,0.87,59
CPA49,Comandra_umbellata,0.84,66.7
CPA49,Elaeagnus_commutata,2.32,46.2
CPA49,Elymus_lanceolatus,0.64,33.3
CPA49,Elymus_trachycaulus,0.87,69.2
CPA49,Equisetum_hyemale,0.17,25.6
CPA49,Festuca_hallii,4.36,97.4
CPA49,Festuca_saximontana,1.32,61.5
CPA49,Gaillardia_aristata,0.28,25.6
CPA49,Galium_boreale,0.33,30.8
CPA49,Helictochloa_hookeri,0.72,61.5
CPA49,Hesperostipa_comata,1.99,66.7
CPA49,Hesperostipa_curtiseta,11.94,100
CPA49,Heterotheca_villosa,1.11,41
CPA49,Koeleria_macrantha,2.45,97.4
CPA49,Orthocarpus_luteus,0.14,25.6
CPA49,Oxytropis_campestris,0.73,33.3
CPA49,Pascopyrum_smithii,0.71,25.6
CPA49,Poa_pratensis,1.34,43.6
CPA49,Potentilla_gracilis,0.45,28.2
CPA49,Pulsatilla_patens,0.44,38.5
CPA49,Rosa_arkansana,2.2,25.6
CPA49,Rosa_woodsii,2.14,64.1
CPA49,Solidago_missouriensis,0.95,82.1
CPA49,Sporobolus_rigidus,1.84,51.3
CPA49,Symphoricarpos_occidentalis,3.28,56.4
CPA49,Symphyotrichum_ericoides,0.27,20.5
CPA49,Thermopsis_rhombifolia,1.35,66.7
CPA49,Vicia_americana,0.33,41
CPA6,Achillea_millefolium,1.43,56
CPA6,Antennaria_parvifolia,2.58,36
CPA6,Artemisia_biennis,0.28,28
CPA6,Artemisia_frigida,3.62,84
CPA6,Artemisia_ludoviciana,1.35,40
CPA6,Bouteloua_gracilis,2.91,72
CPA6,Campanula_rotundifolia,0.6,44
CPA6,Carex,30.4,100
CPA6,Cerastium_arvense,0.51,48
CPA6,Comandra_umbellata,0.14,28
CPA6,Equisetum_arvense,0.38,48
CPA6,Festuca_hallii,11.62,100
CPA6,Festuca_saximontana,0.57,72
CPA6,Geum_triflorum,3.41,44
CPA6,Helictochloa_hookeri,1.4,60
CPA6,Hesperostipa_comata,0.4,40
CPA6,Hesperostipa_curtiseta,14.69,100
CPA6,Heterotheca_villosa,0.72,40
CPA6,Juncus_balticus,0.32,32
CPA6,Koeleria_macrantha,3.8,96
CPA6,Pascopyrum_smithii,1.03,24
CPA6,Pulsatilla_patens,1.67,36
CPA6,Solidago_missouriensis,2.52,68
CPA6,Sporobolus_rigidus,5.49,84
CPA6,Thermopsis_rhombifolia,1.18,28
CPC1,Achillea_millefolium,0.91,83.3
CPC1,Agrostis_scabra,2.15,83.3
CPC1,Androsace_septentrionalis,0.19,50
CPC1,Artemisia_campestris,0.69,33.3
CPC1,Artemisia_frigida,6.12,100
CPC1,Artemisia_ludoviciana,1.55,66.7
CPC1,Bouteloua_gracilis,2.54,83.3
CPC1,Campanula_rotundifolia,0.12,33.3
CPC1,Carex,6.5,83.3
CPC1,Cerastium_arvense,1.59,83.3
CPC1,Comandra_umbellata,0.4,50
CPC1,Elaeagnus_commutata,13.55,100
CPC1,Elymus_trachycaulus,1.6,100
CPC1,Equisetum_hyemale,0.22,83.3
CPC1,Erysimum_asperum,0.14,33.3
CPC1,Festuca_hallii,3.03,83.3
CPC1,Festuca_saximontana,2.37,83.3
CPC1,Galium_boreale,0.57,50
CPC1,Hesperostipa_comata,4.03,100
CPC1,Hesperostipa_curtiseta,4.8,83.3
CPC1,Heterotheca_villosa,0.78,33.3
CPC1,Koeleria_macrantha,2.55,100
CPC1,Orthocarpus_luteus,0.2,33.3
CPC1,Poa_pratensis,0.75,50
CPC1,Prunus_virginiana,3.27,66.7
CPC1,Rosa_woodsii,7.21,83.3
CPC1,Silene_parryi,0.09,33.3
CPC1,Solidago_missouriensis,2.43,83.3
CPC1,Sporobolus_rigidus,6.08,100
CPC1,Symphoricarpos_occidentalis,0.58,33.3
CPC1,Thermopsis_rhombifolia,1.06,50
CPC1,Vicia_americana,0.17,33.3
CPC21,Achillea_millefolium,1.03,90.9
CPC21,Agoseris_glauca,0.3,45.5
CPC21,Agrostis_scabra,0.26,27.3
CPC21,Amelanchier_alnifolia,1.31,27.3
CPC21,Androsace_septentrionalis,0.27,90.9
CPC21,Antennaria_parvifolia,1.48,27.3
CPC21,Artemisia_frigida,3.87,81.8
CPC21,Artemisia_ludoviciana,1.65,81.8
CPC21,Bouteloua_gracilis,1.42,36.4
CPC21,Bromus_inermis,0.1,27.3
CPC21,Campanula_rotundifolia,0.17,54.5
CPC21,Carex,7.91,90.9
CPC21,Cerastium_arvense,3.46,100
CPC21,Comandra_umbellata,0.96,36.4
CPC21,Elaeagnus_commutata,4.73,100
CPC21,Elymus_trachycaulus,3.66,100
CPC21,Equisetum_hyemale,0.24,45.5
CPC21,Festuca_hallii,1.32,45.5
CPC21,Festuca_saximontana,1.53,81.8
